2224	BCL6	573	DNAH9	0.974684	0.000000
1275	HRAS	2388	BRAF	0.000660	0.000000
1632	NRAS	2388	BRAF	0.000000	0.000000
2547	MAPKAPK3	2388	BRAF	0.409283	0.000000
2694	CAMK2B	2388	BRAF	0.409283	0.000000
2887	EED	2388	BRAF	0.652078	0.690647
1275	HRAS	2422	TEK	0.933491	0.000000
1632	NRAS	2422	TEK	0.799757	0.000000
2455	HSP90B1	2428	TG	0.970464	0.000000
1275	HRAS	2449	TP53	0.933491	0.000000
2428	TG	2455	HSP90B1	0.970464	0.000000
2493	VDAC1	2468	TTN	0.962025	0.000000
2753	OBSCN	2468	TTN	0.822621	0.000000
2802	CUL3	2468	TTN	0.962025	0.000000
2867	TCAP	2468	TTN	0.962025	0.000000
2887	EED	2468	TTN	0.925338	0.000000
2890	MYOM1	2468	TTN	0.962025	0.000000
2468	TTN	2493	VDAC1	0.962025	0.000000
2388	BRAF	2547	MAPKAPK3	0.409283	0.000000
1275	HRAS	2677	ESX1	0.966245	0.000000
1275	HRAS	2690	CAMK2A	0.966245	0.000000
1632	NRAS	2690	CAMK2A	0.894515	0.000000
1275	HRAS	2694	CAMK2B	0.966245	0.000000
1632	NRAS	2694	CAMK2B	0.894515	0.000000
2388	BRAF	2694	CAMK2B	0.409283	0.000000
1275	HRAS	2696	SNX27	0.966245	0.000000
2468	TTN	2753	OBSCN	0.822621	0.000000
2468	TTN	2802	CUL3	0.962025	0.000000
2468	TTN	2867	TCAP	0.962025	0.000000
1275	HRAS	2878	IRS2	0.966245	0.000000
1632	NRAS	2878	IRS2	0.894515	0.000000
2388	BRAF	2887	EED	0.652078	0.690647
2468	TTN	2887	EED	0.925338	0.000000
2468	TTN	2890	MYOM1	0.962025	0.000000
1275	HRAS	3058	NRG2	0.966245	0.000000
1632	NRAS	3058	NRG2	0.894515	0.000000
